iter	Poisson
0	-38.01136358
1	-99.99767764
2	-144.7615324
3	-237.6435245
4	-312.1125746
5	-352.2999204
6	-418.9885709
7	-480.8083638
8	-541.3395894
9	-596.9639169
10	-649.0442748
11	-698.2389702
12	-744.6418804
13	-789.2352808
14	-831.1333939
15	-870.4895891
16	-907.3183888
17	-942.0886269
18	-975.3329728
19	-1006.58233
20	-1035.526166
21	-1062.556181
22	-1088.395536
23	-1112.587851
24	-1135.214323
25	-1156.072491
26	-1175.683701
27	-1193.913778
28	-1210.866032
29	-1226.669236
30	-1241.561853
31	-1255.214902
32	-1267.856598
33	-1279.704952
34	-1290.640787
35	-1300.695619
36	-1310.327752
37	-1319.283724
38	-1327.403119
39	-1334.888062
40	-1341.786231
41	-1348.011462
42	-1353.98093
43	-1359.4741
44	-1364.384619
45	-1369.949725
46	-1375.015931
47	-1379.628297
48	-1383.598753
49	-1387.002766
50	-1390.04968
51	-1392.817239
52	-1395.524488
53	-1398.094731
54	-1400.40667
55	-1402.471585
56	-1404.963368
57	-1407.28966
58	-1409.046797
59	-1411.109259
60	-1413.000994
61	-1414.367033
62	-1415.549566
63	-1417.122254
64	-1418.334386
65	-1419.633154
66	-1420.815826
67	-1422.060656
68	-1422.730091
69	-1423.433794
70	-1424.291344
71	-1424.968167
72	-1425.606585
73	-1426.349827
74	-1426.903039
75	-1427.374995
76	-1427.766082
77	-1428.323625
78	-1428.886363
79	-1429.419187
80	-1429.926494
81	-1430.412311
82	-1430.793402
83	-1431.099439
84	-1431.432127
85	-1431.652954
86	-1431.941911
87	-1432.149568
88	-1432.441216
89	-1432.678931
90	-1432.932946
91	-1433.042599
92	-1433.239437
93	-1433.355043
94	-1433.583878
95	-1433.774416
96	-1433.869892
97	-1434.030438
98	-1434.176573
99	-1434.270578
100	-1434.341202
101	-1434.480204
102	-1434.63055
103	-1434.79039
104	-1434.931764
105	-1434.992102
106	-1435.125625
107	-1435.234273
108	-1435.294061
109	-1435.357845
110	-1435.438111
111	-1435.537986
112	-1435.587681
113	-1435.625183
114	-1435.717021
115	-1435.804388
116	-1435.848087
117	-1435.949332
118	-1435.993109
119	-1436.061767
120	-1436.138227
121	-1436.194251
122	-1436.244833
123	-1436.318197
124	-1436.399858
125	-1436.432445
126	-1436.465383
127	-1436.519075
128	-1436.542293
129	-1436.591357
130	-1436.637902
131	-1436.694436
132	-1436.719502
133	-1436.750938
134	-1436.816859
135	-1436.840681
136	-1436.903013
137	-1436.981259
138	-1437.039887
139	-1437.067947
140	-1437.101532
141	-1437.134225
142	-1437.17656
143	-1437.226195
144	-1437.268513
145	-1437.294643
146	-1437.362056
147	-1437.387417
148	-1437.40061
149	-1437.422502
150	-1437.45605
151	-1437.471666
152	-1437.511606
153	-1437.536777
154	-1437.55562
155	-1437.578081
156	-1437.587352
157	-1437.609763
158	-1437.633474
159	-1437.669615
160	-1437.686528
161	-1437.705012
162	-1437.74675
163	-1437.766494
164	-1437.783793
165	-1437.842219
166	-1437.859008
167	-1437.888154
168	-1437.935897
169	-1437.954172
170	-1437.987066
171	-1438.006095
172	-1438.029419
173	-1438.046486
174	-1438.064198
175	-1438.09313
176	-1438.11182
177	-1438.133308
178	-1438.177925
179	-1438.228802
180	-1438.255576
181	-1438.289766
182	-1438.316209
183	-1438.333667
184	-1438.353214
185	-1438.370047
186	-1438.389245
187	-1438.409608
188	-1438.42335
189	-1438.441436
190	-1438.470023
191	-1438.491957
192	-1438.518095
193	-1438.552175
194	-1438.58836
195	-1438.597963
196	-1438.627919
197	-1438.647556
198	-1438.675255
199	-1438.699316
200	-1438.727287
201	-1438.754476
202	-1438.770517
203	-1438.799126
204	-1438.842411
205	-1438.855328
206	-1438.889054
207	-1438.907072
208	-1438.940445
209	-1438.953696
210	-1438.981624
211	-1439.006205
212	-1439.022566
213	-1439.046956
214	-1439.058054
215	-1439.081563
216	-1439.094308
217	-1439.110228
218	-1439.134022
219	-1439.15418
220	-1439.170595
221	-1439.185697
222	-1439.204695
223	-1439.217769
224	-1439.226049
225	-1439.237926
226	-1439.251297
227	-1439.267397
228	-1439.291752
229	-1439.314394
230	-1439.337351
231	-1439.347846
232	-1439.369665
233	-1439.389486
234	-1439.408794
235	-1439.421266
236	-1439.434523
237	-1439.446472
238	-1439.471169
239	-1439.492758
240	-1439.506228
241	-1439.516918
242	-1439.535949
243	-1439.556043
244	-1439.571329
245	-1439.583325
246	-1439.595319
247	-1439.610878
248	-1439.624211
249	-1439.633076
250	-1439.651159
251	-1439.672188
252	-1439.689158
253	-1439.696266
254	-1439.705634
255	-1439.726999
256	-1439.737516
257	-1439.747168
258	-1439.779591
259	-1439.786745
260	-1439.801829
261	-1439.818569
262	-1439.831701
263	-1439.843653
264	-1439.866186
265	-1439.875036
266	-1439.882438
267	-1439.890585
268	-1439.905105
269	-1439.917625
270	-1439.926843
271	-1439.935608
272	-1439.940947
273	-1439.950181
274	-1439.956109
275	-1439.962724
276	-1439.977738
277	-1439.997876
278	-1440.012698
279	-1440.019726
280	-1440.050705
281	-1440.057514
282	-1440.071982
283	-1440.08047
284	-1440.09418
285	-1440.109259
286	-1440.124645
287	-1440.134989
288	-1440.140558
289	-1440.149355
290	-1440.154636
291	-1440.173842
292	-1440.183245
293	-1440.192678
294	-1440.210381
295	-1440.227155
296	-1440.24167
297	-1440.250998
298	-1440.257854
299	-1440.264797
300	-1440.281636
301	-1440.289376
302	-1440.295088
303	-1440.303482
304	-1440.309377
305	-1440.316518
306	-1440.332662
307	-1440.343654
308	-1440.357178
309	-1440.360996
310	-1440.368484
311	-1440.377413
312	-1440.388568
313	-1440.393859
314	-1440.407796
315	-1440.415742
316	-1440.440028
317	-1440.446824
318	-1440.458956
319	-1440.47266
320	-1440.486365
321	-1440.496151
322	-1440.513837
323	-1440.51872
324	-1440.527746
325	-1440.537521
326	-1440.554155
327	-1440.570284
328	-1440.581833
329	-1440.588533
330	-1440.598872
331	-1440.603191
332	-1440.611518
333	-1440.626747
334	-1440.637655
335	-1440.644028
336	-1440.658605
337	-1440.66923
338	-1440.674382
339	-1440.684823
340	-1440.705054
341	-1440.710861
342	-1440.722531
343	-1440.739053
344	-1440.76519
345	-1440.770827
346	-1440.779579
347	-1440.78727
348	-1440.797995
349	-1440.804849
350	-1440.811131
351	-1440.82181
352	-1440.835003
353	-1440.840731
354	-1440.847519
355	-1440.855162
356	-1440.864193
357	-1440.874204
358	-1440.886385
359	-1440.891567
360	-1440.918222
361	-1440.93134
362	-1440.939192
363	-1440.948408
364	-1440.955694
365	-1440.962668
366	-1440.966715
367	-1440.972491
368	-1440.983038
369	-1440.988159
370	-1440.99231
371	-1441.005187
372	-1441.016787
373	-1441.023053
374	-1441.02958
375	-1441.035286
376	-1441.044001
377	-1441.055527
378	-1441.062
379	-1441.069775
380	-1441.074258
381	-1441.096219
382	-1441.101214
383	-1441.115289
384	-1441.12033
385	-1441.125785
386	-1441.134808
387	-1441.139399
388	-1441.145994
389	-1441.153908
390	-1441.15967
391	-1441.168607
392	-1441.177855
393	-1441.18801
394	-1441.195749
395	-1441.206679
396	-1441.212925
397	-1441.242503
398	-1441.247982
399	-1441.252685
400	-1441.257762
401	-1441.264498
402	-1441.274423
403	-1441.281097
404	-1441.287811
405	-1441.294771
406	-1441.30155
407	-1441.305228
408	-1441.327214
409	-1441.331661
410	-1441.34052
411	-1441.347025
412	-1441.355605
413	-1441.364244
414	-1441.385902
415	-1441.395146
416	-1441.404495
417	-1441.407426
418	-1441.413036
