iter	Passed	Remaining
0	205	410324
1	217	216976
2	228	152031
3	234	117106
4	240	96146
5	247	82141
6	253	72232
7	259	64639
8	264	58495
9	269	53674
10	274	49717
11	279	46381
12	285	43573
13	290	41208
14	295	39164
15	301	37354
16	306	35758
17	312	34355
18	317	33109
19	323	32000
20	328	30984
21	334	30065
22	339	29223
23	345	28443
24	350	27724
25	356	27067
26	362	26456
27	367	25886
28	373	25362
29	378	24871
30	384	24409
31	389	23981
32	395	23568
33	400	23179
34	406	22823
35	412	22481
36	417	22157
37	423	21847
38	428	21558
39	434	21290
40	440	21030
41	445	20773
42	451	20545
43	457	20323
44	462	20107
45	468	19884
46	473	19690
47	479	19506
48	485	19322
49	490	19146
50	496	18978
51	502	18816
52	507	18647
53	513	18491
54	518	18337
55	524	18196
56	529	18059
57	535	17921
58	540	17782
59	545	17642
60	550	17508
61	556	17385
62	561	17260
63	566	17134
64	571	17013
65	577	16909
66	582	16811
67	587	16699
68	593	16606
69	599	16516
70	604	16428
71	609	16327
72	614	16227
73	620	16145
74	625	16050
75	630	15972
76	636	15893
77	641	15806
78	646	15723
79	651	15642
80	656	15562
81	661	15482
82	666	15405
83	672	15345
84	677	15272
85	682	15196
86	688	15131
87	693	15062
88	698	14993
89	704	14943
90	711	14934
91	718	14910
92	725	14880
93	732	14842
94	738	14803
95	744	14765
96	749	14707
97	754	14643
98	759	14592
99	765	14535
100	770	14491
101	775	14437
102	780	14379
103	785	14323
104	790	14268
105	795	14219
106	801	14173
107	806	14124
108	811	14080
109	816	14034
110	822	13990
111	827	13945
112	833	13912
113	838	13873
114	844	13837
115	850	13815
116	858	13817
117	863	13779
118	869	13736
119	874	13700
120	879	13663
121	884	13622
122	889	13578
123	894	13540
124	901	13522
125	908	13506
126	913	13465
127	917	13424
128	923	13388
129	928	13355
130	933	13317
131	938	13283
132	943	13245
133	948	13207
134	953	13173
135	958	13137
136	963	13108
137	969	13082
138	974	13049
139	979	13017
140	984	12982
141	989	12948
142	994	12915
143	999	12888
144	1004	12856
145	1009	12824
146	1015	12797
147	1020	12764
148	1025	12735
149	1030	12705
150	1035	12674
151	1040	12645
152	1044	12615
153	1049	12584
154	1054	12555
155	1059	12526
156	1065	12505
157	1070	12478
158	1075	12450
159	1080	12424
160	1085	12396
161	1090	12370
162	1095	12343
163	1100	12319
164	1105	12296
165	1110	12270
166	1115	12248
167	1120	12222
168	1125	12197
169	1130	12172
170	1136	12155
171	1141	12131
172	1146	12108
173	1151	12084
174	1156	12058
175	1161	12036
176	1166	12018
177	1171	11995
178	1176	11973
179	1182	11951
180	1187	11929
181	1192	11909
182	1197	11886
183	1202	11865
184	1207	11843
185	1212	11821
186	1217	11800
187	1222	11779
188	1227	11760
189	1232	11739
190	1237	11716
191	1241	11695
192	1246	11674
193	1251	11652
194	1256	11632
195	1261	11613
196	1267	11596
197	1272	11577
198	1277	11557
199	1281	11536
200	1287	11523
201	1292	11506
202	1297	11487
203	1302	11471
204	1308	11455
205	1313	11435
206	1318	11419
207	1323	11402
208	1328	11385
209	1333	11369
210	1339	11358
211	1344	11343
212	1350	11328
213	1355	11312
214	1360	11296
215	1365	11278
216	1370	11262
217	1375	11246
218	1381	11230
219	1386	11215
220	1391	11198
221	1396	11182
222	1401	11166
223	1406	11153
224	1412	11140
225	1417	11127
226	1423	11117
227	1428	11100
228	1433	11083
229	1437	11066
230	1443	11053
231	1448	11036
232	1453	11022
233	1458	11009
234	1463	10995
235	1468	10979
236	1474	10967
237	1479	10953
238	1484	10937
239	1489	10924
240	1494	10910
241	1499	10895
242	1505	10882
243	1509	10865
244	1514	10848
245	1519	10834
246	1524	10821
247	1529	10806
248	1534	10793
249	1540	10780
250	1545	10766
251	1550	10753
252	1555	10740
253	1560	10726
254	1565	10713
255	1570	10699
256	1575	10688
257	1581	10675
258	1586	10663
259	1591	10650
260	1596	10638
261	1602	10627
262	1607	10614
263	1612	10601
264	1617	10591
265	1622	10577
266	1627	10564
267	1632	10551
268	1637	10538
269	1642	10526
270	1648	10515
271	1653	10502
272	1658	10492
273	1663	10479
274	1668	10466
275	1673	10455
276	1678	10443
277	1683	10430
278	1688	10417
279	1693	10405
280	1699	10394
281	1704	10381
282	1709	10372
283	1714	10360
284	1719	10347
285	1724	10334
286	1729	10321
287	1734	10310
288	1739	10299
289	1744	10287
290	1749	10275
291	1754	10263
292	1759	10252
293	1764	10240
294	1769	10228
295	1774	10217
296	1780	10206
297	1785	10196
298	1790	10185
299	1795	10174
300	1800	10163
301	1806	10155
302	1812	10152
303	1817	10142
304	1823	10131
305	1828	10120
306	1833	10110
307	1838	10098
308	1843	10088
309	1848	10076
310	1853	10065
311	1858	10053
312	1863	10044
313	1868	10032
314	1873	10021
315	1878	10010
316	1883	10001
317	1888	9989
318	1893	9980
319	1899	9970
320	1904	9960
321	1909	9949
322	1914	9939
323	1919	9928
324	1924	9918
325	1929	9908
326	1934	9898
327	1939	9887
328	1944	9876
329	1949	9866
330	1954	9857
331	1959	9846
332	1964	9835
333	1969	9825
334	1974	9814
335	1979	9805
336	1984	9795
337	1990	9785
338	1994	9774
339	1999	9763
340	2005	9755
341	2010	9745
342	2015	9735
343	2020	9725
344	2025	9716
345	2030	9707
346	2035	9696
347	2040	9686
348	2045	9676
349	2050	9664
350	2055	9654
351	2059	9644
352	2065	9634
353	2070	9626
354	2075	9615
355	2080	9605
356	2085	9596
357	2090	9586
358	2095	9577
359	2100	9567
360	2105	9561
361	2111	9552
362	2116	9543
363	2122	9538
364	2127	9531
365	2133	9524
366	2138	9516
367	2144	9509
368	2149	9499
369	2155	9495
370	2160	9488
371	2167	9484
372	2172	9475
373	2178	9469
374	2183	9460
375	2189	9455
376	2195	9450
377	2200	9442
378	2206	9435
379	2211	9429
380	2217	9423
381	2223	9416
382	2230	9415
383	2235	9407
384	2240	9398
385	2246	9394
386	2251	9384
387	2256	9375
388	2261	9366
389	2266	9357
390	2272	9352
391	2277	9343
392	2283	9336
393	2289	9330
394	2294	9323
395	2299	9314
396	2304	9306
397	2309	9297
398	2315	9289
399	2320	9280
400	2325	9271
401	2330	9264
402	2336	9257
403	2341	9248
404	2347	9244
405	2352	9236
406	2357	9227
407	2362	9219
408	2367	9211
409	2372	9202
410	2378	9193
411	2383	9185
412	2388	9177
413	2393	9169
414	2398	9162
415	2403	9153
416	2408	9144
417	2414	9138
418	2419	9130
419	2425	9122
420	2430	9114
421	2435	9106
422	2440	9098
423	2445	9089
424	2451	9083
425	2456	9075
426	2461	9066
427	2466	9058
428	2471	9049
429	2476	9043
430	2481	9034
431	2487	9028
432	2493	9022
433	2498	9015
434	2503	9007
435	2508	8999
436	2513	8991
437	2518	8982
438	2523	8974
439	2528	8965
440	2534	8958
441	2539	8950
442	2544	8942
443	2550	8936
444	2555	8928
445	2560	8920
446	2565	8912
447	2570	8905
448	2575	8898
449	2580	8889
450	2586	8882
451	2591	8874
452	2596	8866
453	2601	8858
454	2606	8850
455	2611	8842
456	2616	8835
457	2622	8828
458	2627	8820
459	2632	8812
460	2637	8805
461	2642	8797
462	2647	8789
463	2653	8784
464	2658	8776
465	2663	8768
466	2668	8760
467	2674	8753
468	2679	8745
469	2684	8737
470	2689	8732
471	2695	8725
472	2700	8717
473	2705	8710
474	2710	8702
475	2715	8695
476	2721	8688
477	2726	8682
478	2732	8675
479	2737	8667
480	2743	8663
481	2748	8656
482	2754	8652
483	2760	8646
484	2765	8638
485	2770	8631
486	2776	8624
487	2781	8617
488	2786	8609
489	2791	8603
490	2797	8597
491	2802	8590
492	2808	8584
493	2813	8577
494	2819	8571
495	2824	8563
496	2829	8555
497	2834	8548
498	2839	8539
499	2844	8532
500	2849	8524
501	2855	8519
502	2859	8511
503	2864	8503
504	2869	8495
505	2876	8492
506	2881	8485
507	2886	8477
508	2891	8469
509	2896	8463
510	2901	8455
511	2906	8448
512	2912	8440
513	2917	8433
514	2922	8425
515	2927	8418
516	2932	8411
517	2938	8406
518	2943	8399
519	2948	8392
520	2953	8384
521	2958	8377
522	2963	8369
523	2968	8362
524	2975	8358
525	2982	8357
526	2988	8351
527	2995	8350
528	3000	8343
529	3005	8335
530	3010	8327
531	3015	8319
532	3020	8312
533	3024	8304
534	3029	8296
535	3034	8288
536	3040	8282
537	3045	8275
538	3050	8267
539	3054	8259
540	3059	8251
541	3064	8244
542	3069	8236
543	3074	8228
544	3079	8221
545	3084	8213
546	3089	8206
547	3094	8199
548	3099	8192
549	3104	8184
550	3109	8177
551	3114	8170
552	3119	8163
553	3125	8156
554	3130	8149
555	3135	8141
556	3140	8136
557	3145	8129
558	3150	8121
559	3155	8113
560	3160	8107
561	3165	8099
562	3170	8092
563	3175	8085
564	3180	8077
565	3185	8071
566	3190	8064
567	3196	8057
568	3200	8050
569	3205	8042
570	3210	8035
571	3215	8027
572	3221	8021
573	3226	8016
574	3231	8009
575	3236	8002
576	3242	7995
577	3247	7988
578	3252	7981
579	3257	7974
580	3262	7967
581	3267	7960
582	3272	7953
583	3277	7947
584	3282	7940
585	3287	7933
586	3293	7927
587	3298	7920
588	3303	7913
589	3308	7907
590	3314	7901
591	3319	7894
592	3324	7887
593	3329	7880
594	3334	7873
595	3339	7866
596	3344	7859
597	3349	7852
598	3354	7844
599	3358	7837
600	3363	7829
601	3368	7823
602	3374	7817
603	3379	7810
604	3384	7803
605	3389	7796
606	3394	7789
607	3399	7782
608	3404	7775
609	3409	7768
610	3415	7764
611	3420	7757
612	3425	7750
613	3430	7743
614	3435	7736
615	3440	7729
616	3445	7723
617	3450	7716
618	3455	7709
619	3460	7702
620	3465	7695
621	3470	7689
622	3475	7682
623	3480	7675
624	3485	7669
625	3490	7662
626	3496	7656
627	3501	7650
628	3506	7643
629	3511	7636
630	3516	7630
631	3521	7622
632	3526	7616
633	3531	7609
634	3536	7603
635	3541	7595
636	3546	7589
637	3551	7582
638	3556	7575
639	3561	7568
640	3566	7561
641	3571	7555
642	3576	7548
643	3582	7542
644	3587	7535
645	3592	7529
646	3597	7522
647	3602	7516
648	3607	7510
649	3612	7503
650	3617	7496
651	3622	7490
652	3627	7483
653	3632	7476
654	3637	7469
655	3642	7463
656	3648	7457
657	3652	7450
658	3658	7444
659	3663	7438
660	3668	7431
661	3673	7424
662	3678	7418
663	3683	7411
664	3688	7404
665	3693	7397
666	3698	7391
667	3703	7385
668	3708	7378
669	3713	7371
670	3718	7364
671	3723	7358
672	3728	7351
673	3733	7344
674	3738	7338
675	3743	7331
676	3748	7325
677	3753	7318
678	3758	7311
679	3763	7305
680	3768	7299
681	3773	7292
682	3778	7286
683	3783	7279
684	3788	7272
685	3793	7266
686	3798	7259
687	3803	7252
688	3808	7246
689	3813	7240
690	3818	7233
691	3823	7227
692	3828	7220
693	3833	7214
694	3838	7207
695	3843	7200
696	3848	7194
697	3853	7187
698	3858	7181
699	3863	7175
700	3868	7168
701	3873	7162
702	3878	7156
703	3884	7150
704	3888	7143
705	3893	7136
706	3898	7129
707	3903	7122
708	3908	7116
709	3913	7109
710	3918	7103
711	3922	7096
712	3928	7090
713	3933	7084
714	3937	7077
715	3943	7071
716	3948	7064
717	3953	7058
718	3958	7051
719	3962	7044
720	3967	7038
721	3972	7031
722	3977	7025
723	3982	7018
724	3987	7012
725	3992	7006
726	3997	6999
727	4002	6993
728	4007	6986
729	4011	6979
730	4016	6973
731	4021	6966
732	4026	6960
733	4031	6954
734	4036	6947
735	4042	6941
736	4047	6935
737	4052	6929
738	4057	6922
739	4062	6916
740	4067	6910
741	4072	6904
742	4077	6898
743	4082	6892
744	4087	6886
745	4092	6879
746	4097	6873
747	4102	6867
748	4107	6860
749	4112	6854
750	4117	6848
751	4122	6841
752	4127	6835
753	4133	6830
754	4138	6824
755	4143	6818
756	4148	6812
757	4153	6805
758	4159	6800
759	4164	6794
760	4169	6788
761	4174	6782
762	4179	6776
763	4184	6770
764	4190	6764
765	4195	6758
766	4200	6752
767	4205	6745
768	4210	6740
769	4215	6734
770	4221	6728
771	4226	6723
772	4231	6716
773	4236	6710
774	4242	6705
775	4247	6699
776	4252	6693
777	4258	6688
778	4263	6682
779	4268	6676
780	4273	6670
781	4278	6664
782	4283	6657
783	4288	6651
784	4293	6645
785	4299	6640
786	4304	6634
787	4309	6628
788	4315	6623
789	4320	6617
790	4325	6610
791	4330	6604
792	4335	6598
793	4340	6592
794	4345	6586
795	4351	6581
796	4356	6575
797	4361	6569
798	4366	6563
799	4371	6557
800	4376	6551
801	4381	6545
802	4386	6538
803	4392	6533
804	4397	6528
805	4402	6521
806	4407	6516
807	4412	6509
808	4417	6503
809	4422	6496
810	4427	6490
811	4432	6484
812	4437	6479
813	4442	6473
814	4447	6466
815	4452	6461
816	4457	6454
817	4462	6448
818	4467	6442
819	4472	6435
820	4477	6429
821	4482	6423
822	4487	6417
823	4492	6411
824	4497	6405
825	4502	6400
826	4507	6393
827	4512	6387
828	4517	6381
829	4522	6375
830	4528	6370
831	4533	6364
832	4539	6359
833	4544	6353
834	4549	6347
835	4554	6341
836	4559	6335
837	4564	6329
838	4569	6323
839	4574	6317
840	4579	6311
841	4584	6305
842	4589	6299
843	4594	6293
844	4599	6287
845	4604	6281
846	4609	6275
847	4614	6269
848	4619	6262
849	4624	6256
850	4630	6251
851	4635	6245
852	4640	6239
853	4645	6234
854	4650	6228
855	4655	6222
856	4660	6216
857	4666	6210
858	4671	6204
859	4676	6199
860	4681	6193
861	4686	6187
862	4692	6182
863	4697	6176
864	4702	6170
865	4707	6164
866	4712	6158
867	4717	6152
868	4723	6146
869	4728	6141
870	4732	6134
871	4738	6129
872	4743	6123
873	4747	6116
874	4753	6111
875	4757	6104
876	4763	6099
877	4768	6094
878	4773	6088
879	4778	6082
880	4783	6076
881	4788	6070
882	4793	6063
883	4798	6057
884	4803	6051
885	4808	6046
886	4813	6040
887	4818	6034
888	4823	6027
889	4828	6022
890	4834	6016
891	4839	6011
892	4844	6005
893	4850	6000
894	4855	5994
895	4860	5988
896	4865	5982
897	4870	5976
898	4875	5971
899	4880	5965
900	4885	5959
901	4890	5953
902	4895	5947
903	4900	5941
904	4905	5935
905	4911	5930
906	4916	5924
907	4921	5918
908	4926	5913
909	4931	5907
910	4936	5901
911	4941	5895
912	4947	5890
913	4952	5884
914	4957	5878
915	4963	5873
916	4968	5868
917	4974	5862
918	4978	5856
919	4984	5850
920	4989	5844
921	4994	5839
922	5000	5834
923	5005	5828
924	5010	5822
925	5015	5817
926	5021	5811
927	5025	5805
928	5030	5799
929	5036	5794
930	5041	5788
931	5046	5782
932	5051	5776
933	5056	5770
934	5061	5765
935	5066	5759
936	5071	5753
937	5076	5747
938	5081	5742
939	5086	5736
940	5091	5730
941	5096	5724
942	5101	5718
943	5106	5712
944	5111	5706
945	5117	5701
946	5122	5696
947	5128	5690
948	5134	5685
949	5139	5681
950	5144	5675
951	5150	5669
952	5155	5663
953	5160	5657
954	5165	5651
955	5170	5646
956	5175	5640
957	5180	5634
958	5185	5629
959	5190	5623
960	5195	5617
961	5200	5611
962	5207	5607
963	5212	5601
964	5217	5596
965	5223	5590
966	5228	5585
967	5233	5579
968	5238	5573
969	5243	5568
970	5249	5562
971	5254	5556
972	5259	5551
973	5264	5545
974	5269	5539
975	5274	5533
976	5279	5528
977	5285	5522
978	5290	5517
979	5295	5511
980	5300	5505
981	5305	5500
982	5310	5494
983	5315	5488
984	5320	5482
985	5325	5476
986	5330	5471
987	5335	5465
988	5341	5460
989	5346	5454
990	5351	5448
991	5356	5442
992	5361	5436
993	5366	5431
994	5371	5425
995	5376	5419
996	5381	5413
997	5386	5408
998	5392	5402
999	5397	5397
1000	5402	5391
1001	5407	5386
1002	5413	5380
1003	5418	5375
1004	5423	5369
1005	5428	5363
1006	5433	5357
1007	5438	5352
1008	5443	5346
1009	5448	5340
1010	5453	5334
1011	5458	5328
1012	5463	5323
1013	5468	5317
1014	5473	5311
1015	5478	5305
1016	5483	5300
1017	5488	5294
1018	5494	5289
1019	5499	5283
1020	5504	5278
1021	5509	5272
1022	5514	5266
1023	5519	5260
1024	5524	5255
1025	5529	5249
1026	5534	5243
1027	5539	5238
1028	5544	5232
1029	5549	5226
1030	5554	5220
1031	5559	5214
1032	5564	5209
1033	5569	5203
1034	5574	5197
1035	5579	5191
1036	5584	5185
1037	5589	5180
1038	5594	5174
1039	5599	5168
1040	5604	5163
1041	5609	5157
1042	5614	5151
1043	5620	5146
1044	5625	5141
1045	5631	5135
1046	5635	5129
1047	5640	5124
1048	5646	5118
1049	5651	5113
1050	5657	5108
1051	5662	5102
1052	5666	5096
1053	5671	5090
1054	5676	5084
1055	5681	5079
1056	5686	5073
1057	5691	5067
1058	5696	5062
1059	5702	5056
1060	5707	5051
1061	5712	5045
1062	5717	5040
1063	5723	5034
1064	5728	5028
1065	5733	5023
1066	5738	5017
1067	5743	5011
1068	5748	5006
1069	5753	5001
1070	5759	4995
1071	5764	4990
1072	5769	4984
1073	5774	4979
1074	5780	4973
1075	5785	4967
1076	5790	4962
1077	5795	4956
1078	5801	4951
1079	5805	4945
1080	5810	4939
1081	5815	4934
1082	5820	4928
1083	5825	4922
1084	5830	4917
1085	5835	4911
1086	5840	4905
1087	5845	4900
1088	5850	4894
1089	5855	4888
1090	5860	4882
1091	5865	4877
1092	5870	4871
1093	5875	4865
1094	5880	4860
1095	5885	4854
1096	5890	4848
1097	5895	4843
1098	5900	4837
1099	5905	4831
1100	5910	4825
1101	5915	4820
1102	5920	4814
1103	5925	4808
1104	5930	4803
1105	5935	4797
1106	5940	4792
1107	5945	4786
1108	5950	4780
1109	5955	4775
1110	5961	4770
1111	5967	4765
1112	5972	4759
1113	5976	4753
1114	5981	4747
1115	5986	4742
1116	5991	4736
1117	5996	4730
1118	6001	4725
1119	6006	4719
1120	6011	4713
1121	6017	4708
1122	6021	4702
1123	6027	4697
1124	6031	4691
1125	6036	4685
1126	6042	4680
1127	6047	4674
1128	6052	4669
1129	6057	4663
1130	6062	4658
1131	6067	4652
1132	6072	4646
1133	6077	4641
1134	6083	4636
1135	6088	4630
1136	6093	4625
1137	6098	4619
1138	6103	4614
1139	6109	4608
1140	6114	4603
1141	6119	4597
1142	6124	4591
1143	6129	4586
1144	6134	4580
1145	6139	4575
1146	6144	4569
1147	6149	4564
1148	6155	4558
1149	6160	4553
1150	6165	4547
1151	6170	4542
1152	6175	4536
1153	6180	4530
1154	6185	4525
1155	6190	4519
1156	6195	4514
1157	6201	4508
1158	6206	4503
1159	6211	4497
1160	6216	4492
1161	6221	4486
1162	6226	4480
1163	6231	4475
1164	6236	4470
1165	6241	4464
1166	6246	4458
1167	6251	4453
1168	6256	4447
1169	6261	4442
1170	6266	4436
1171	6271	4430
1172	6276	4425
1173	6281	4419
1174	6286	4414
1175	6291	4408
1176	6296	4403
1177	6301	4397
1178	6306	4391
1179	6311	4386
1180	6317	4380
1181	6322	4375
1182	6327	4369
1183	6332	4364
1184	6337	4358
1185	6343	4353
1186	6347	4347
1187	6353	4342
1188	6357	4336
1189	6363	4331
1190	6368	4325
1191	6372	4319
1192	6378	4314
1193	6383	4308
1194	6388	4303
1195	6393	4297
1196	6398	4292
1197	6403	4286
1198	6408	4281
1199	6413	4275
1200	6418	4269
1201	6423	4264
1202	6428	4258
1203	6433	4253
1204	6438	4247
1205	6443	4242
1206	6448	4236
1207	6454	4231
1208	6459	4226
1209	6464	4220
1210	6469	4215
1211	6475	4209
1212	6480	4204
1213	6485	4198
1214	6490	4193
1215	6495	4187
1216	6500	4182
1217	6504	4176
1218	6509	4170
1219	6514	4165
1220	6519	4159
1221	6524	4153
1222	6529	4148
1223	6534	4142
1224	6539	4137
1225	6544	4131
1226	6549	4126
1227	6554	4120
1228	6559	4114
1229	6564	4109
1230	6569	4103
1231	6574	4098
1232	6579	4092
1233	6584	4087
1234	6589	4081
1235	6594	4075
1236	6599	4070
1237	6603	4064
1238	6608	4059
1239	6613	4053
1240	6618	4048
1241	6624	4042
1242	6629	4037
1243	6634	4031
1244	6639	4026
1245	6644	4020
1246	6649	4015
1247	6654	4009
1248	6659	4004
1249	6664	3998
1250	6669	3993
1251	6674	3987
1252	6679	3982
1253	6684	3976
1254	6689	3971
1255	6694	3965
1256	6699	3959
1257	6704	3954
1258	6709	3948
1259	6714	3943
1260	6719	3937
1261	6724	3932
1262	6729	3926
1263	6734	3921
1264	6739	3915
1265	6744	3910
1266	6750	3905
1267	6755	3899
1268	6760	3894
1269	6765	3888
1270	6770	3883
1271	6775	3877
1272	6780	3872
1273	6786	3867
1274	6791	3861
1275	6796	3856
1276	6801	3850
1277	6806	3845
1278	6811	3839
1279	6816	3834
1280	6821	3828
1281	6826	3823
1282	6831	3817
1283	6836	3812
1284	6841	3806
1285	6846	3801
1286	6851	3795
1287	6856	3790
1288	6861	3784
1289	6866	3779
1290	6871	3773
1291	6876	3768
1292	6881	3762
1293	6886	3757
1294	6891	3751
1295	6896	3746
1296	6901	3740
1297	6906	3735
1298	6911	3729
1299	6916	3724
1300	6921	3718
1301	6926	3713
1302	6931	3707
1303	6936	3702
1304	6941	3696
1305	6946	3691
1306	6951	3685
1307	6955	3680
1308	6960	3674
1309	6966	3669
1310	6971	3663
1311	6976	3658
1312	6980	3652
1313	6985	3646
1314	6990	3641
1315	6995	3635
1316	7000	3630
1317	7005	3624
1318	7010	3619
1319	7015	3614
1320	7020	3608
1321	7026	3603
1322	7031	3598
1323	7036	3592
1324	7041	3587
1325	7046	3581
1326	7051	3576
1327	7056	3570
1328	7061	3565
1329	7066	3559
1330	7071	3554
1331	7077	3549
1332	7082	3543
1333	7087	3538
1334	7092	3532
1335	7097	3527
1336	7102	3522
1337	7107	3516
1338	7112	3511
1339	7117	3505
1340	7122	3500
1341	7127	3494
1342	7132	3489
1343	7137	3483
1344	7142	3478
1345	7147	3473
1346	7153	3467
1347	7157	3462
1348	7162	3456
1349	7167	3451
1350	7172	3445
1351	7178	3440
1352	7183	3435
1353	7188	3429
1354	7193	3424
1355	7198	3418
1356	7203	3413
1357	7208	3407
1358	7213	3402
1359	7219	3397
1360	7224	3391
1361	7229	3386
1362	7234	3381
1363	7239	3375
1364	7244	3370
1365	7249	3364
1366	7254	3359
1367	7260	3354
1368	7265	3348
1369	7270	3343
1370	7274	3337
1371	7279	3332
1372	7284	3326
1373	7290	3321
1374	7295	3316
1375	7300	3310
1376	7305	3305
1377	7310	3299
1378	7315	3294
1379	7321	3289
1380	7326	3283
1381	7331	3278
1382	7336	3273
1383	7341	3267
1384	7346	3262
1385	7351	3256
1386	7356	3251
1387	7361	3245
1388	7366	3240
1389	7371	3235
1390	7376	3229
1391	7382	3224
1392	7387	3218
1393	7392	3213
1394	7397	3208
1395	7402	3202
1396	7407	3197
1397	7412	3191
1398	7417	3186
1399	7422	3180
1400	7427	3175
1401	7432	3170
1402	7437	3164
1403	7442	3159
1404	7447	3153
1405	7452	3148
1406	7457	3143
1407	7462	3137
1408	7467	3132
1409	7472	3126
1410	7477	3121
1411	7483	3116
1412	7488	3110
1413	7493	3105
1414	7498	3099
1415	7503	3094
1416	7508	3089
1417	7512	3083
1418	7517	3078
1419	7523	3072
1420	7528	3067
1421	7533	3062
1422	7538	3056
1423	7543	3051
1424	7548	3046
1425	7553	3040
1426	7559	3035
1427	7563	3029
1428	7568	3024
1429	7573	3018
1430	7578	3013
1431	7583	3007
1432	7587	3002
1433	7593	2996
